==========================================================================================================================================================================
                                                                 PLATAFORMA DE STREAMING TP
                                                       DETALLE COMPLETO DE REPRODUCCIONES DE STREAMS ORDENADO POR IDIOMA Y TASA DROP-OFF.
==========================================================================================================================================================================
    STREAM         IDIOMA      CATEGORIA         REP.ANTIGUA        REP.RECIENTE        PROM.RAT.CAL       PROM.TASA.DROP-OFF         DURAC.         #REPR.      TOT.REPR.
    312130         3019         D1058           16/07/2025           01/09/2025            16.16                3.94                 01:40:35          5         00:20:07
    394137         3019         C1072           24/07/2025           27/08/2025            25.98                3.96                 02:18:10          7         00:19:44
    380174         3019         T1017           15/07/2025           23/08/2025            24.96                4.37                 00:03:06          9         00:00:20
    704111         3009         K1093           03/08/2025           02/09/2025            15.61                1.51                 00:25:18          4         00:06:19
    992165         3009         I1015           17/07/2025           09/08/2025            15.60                1.88                 01:30:50          4         00:22:42
    360187         3009         G1043           21/08/2025           01/09/2025            21.04                2.04                 00:00:56          5         00:00:11
    529140         3009         N1055           16/07/2025           30/08/2025            13.07                2.16                 02:22:02          4         00:35:30
    450161         3009         L1061           22/07/2025           16/08/2025            31.41                3.61                 00:58:50          8         00:07:21
    396199         3009         C1010           15/07/2025           31/08/2025            25.95                4.49                 01:34:49          7         00:13:32
    150144         3009         B1073           15/07/2025           03/09/2025            25.66                4.50                 00:29:02          7         00:04:08
    294188         3006         C1072           08/08/2025           08/08/2025             6.78                1.54                 02:14:51          1         02:14:51
    731150         3006         L1008           20/07/2025           21/08/2025            18.26                4.73                 02:09:08          8         00:16:08
    994181         3006         G1051           20/07/2025           01/09/2025            29.93                5.23                 00:08:00          7         00:01:08
    977179         3001         A1054           23/07/2025           06/08/2025             8.22                1.34                 01:04:09          2         00:32:04
    831191         3001         F1077           29/08/2025           29/08/2025             5.18                1.50                 01:49:26          1         01:49:26
    914175         3001         N1013           19/07/2025           24/08/2025            16.85                2.00                 00:42:35          4         00:10:38
    914103         3001         N1001           15/07/2025           27/08/2025            15.73                2.66                 02:18:40          5         00:27:44
    175109         3001         W1089           15/07/2025           31/08/2025            35.57                7.50                 02:22:23         11         00:12:56
    333192         2062         A1060           ----------           ----------            -----               -----                 00:05:10          0         00:00:00
    875110         2062         U1045           22/08/2025           22/08/2025             6.74                1.91                 01:43:14          1         01:43:14
    785178         2062         O1019           29/07/2025           07/08/2025            11.48                2.13                 01:15:27          3         00:25:09
    501133         2062         U1045           26/07/2025           31/08/2025            15.30                2.38                 00:47:09          4         00:11:47
    254145         2062         B1047           19/07/2025           23/08/2025            23.33                2.85                 00:11:42          6         00:01:57
    979189         2062         Z1085           23/07/2025           30/08/2025            14.45                2.85                 00:43:21          4         00:10:50
    347108         2062         W1036           19/07/2025           03/09/2025            19.51                3.94                 00:59:00          6         00:09:50
    866151         2055         Q1028           27/08/2025           27/08/2025             3.42                1.40                 01:30:05          1         01:30:05
    668194         2055         U1003           14/08/2025           02/09/2025            12.77                1.53                 00:11:47          3         00:03:55
    145153         2055         N1099           31/07/2025           28/08/2025            14.96                1.73                 01:18:42          3         00:26:14
    233158         2055         D1020           05/08/2025           31/08/2025            21.61                2.67                 01:51:16          6         00:18:32
    927148         2055         N1099           24/07/2025           31/08/2025            24.55                3.22                 01:56:59          5         00:23:23
    242173         2055         A1054           29/07/2025           03/09/2025            19.52                3.98                 01:06:03          7         00:09:26
    338176         2055         K1026           18/07/2025           31/08/2025            21.31                4.28                 01:36:44          5         00:19:20
    784162         2055         K1026           19/07/2025           25/08/2025            20.23                5.22                 01:08:55          6         00:11:29
    186113         2041         C1072           25/08/2025           25/08/2025             6.06                0.76                 00:05:41          1         00:05:41
    547147         2041         A1052           18/07/2025           25/08/2025            13.21                1.02                 02:21:50          4         00:35:27
    371167         2041         D1067           11/08/2025           01/09/2025            21.26                2.78                 01:06:43          4         00:16:40
    866146         2041         Z1037           23/07/2025           30/08/2025            24.10                3.07                 01:13:33          7         00:10:30
    373149         2041         W1039           22/07/2025           27/08/2025            17.63                3.41                 02:05:32          5         00:25:06
    424112         2041         B1075           19/07/2025           31/08/2025            23.73                4.51                 00:53:51          6         00:08:58
    312157         2041         N1013           20/07/2025           10/08/2025            22.44                4.59                 01:03:37          6         00:10:36
    632180         2035         S1035           16/07/2025           05/08/2025             9.34                1.58                 00:39:10          4         00:09:47
    684170         2035         D1097           16/07/2025           01/09/2025            16.54                4.12                 00:36:13          7         00:05:10
    650117         2035         B1005           22/07/2025           29/08/2025            22.93                5.61                 01:43:09          9         00:11:27
    410154         2022         Q1021           27/07/2025           26/08/2025            22.35                3.81                 00:56:27          8         00:07:03
    111196         2010         S1035           ----------           ----------            -----               -----                 00:18:28          0         00:00:00
    553156         2010         A1052           16/07/2025           27/08/2025            10.60                1.83                 02:07:26          3         00:42:28
    113141         2010         T1017           22/07/2025           19/08/2025            16.06                2.37                 01:46:59          4         00:26:44
    316186         2010         L1061           04/08/2025           23/08/2025            13.95                2.78                 01:41:44          4         00:25:26
    255124         1056         H1004           18/07/2025           03/09/2025            14.45                3.17                 00:15:31          4         00:03:52
    461163         1056         V1056           23/07/2025           25/08/2025            30.31                3.88                 01:22:16          8         00:10:17
    714136         1056         J1009           15/07/2025           02/09/2025            24.30                4.67                 01:09:20          7         00:09:54
    570116         1007         O1049           23/07/2025           03/09/2025            15.31                2.14                 00:05:33          4         00:01:23
    833121         1007         N1079           20/07/2025           19/08/2025            21.25                2.66                 00:05:07          6         00:00:51
    199195         1007         V1056           17/07/2025           27/08/2025            22.00                2.94                 02:02:03          7         00:17:26
    103172         1007         Q1028           17/07/2025           29/08/2025            29.46                3.10                 00:39:54          6         00:06:39
    726131         1007         S1095           15/07/2025           03/09/2025            33.75                5.14                 00:03:45         10         00:00:22
    770185         1007         D1058           21/07/2025           03/09/2025            40.68                5.86                 02:04:33         11         00:11:19
    486125         1005         A1052           27/08/2025           27/08/2025             8.48                1.52                 02:01:25          1         02:01:25
    829177         1005         T1007           16/07/2025           19/08/2025            13.56                2.06                 00:10:29          4         00:02:37
    752122         1005         S1095           15/07/2025           23/08/2025            15.30                2.13                 01:22:16          4         00:20:34
    978138         1005         A1063           23/07/2025           02/09/2025            27.68                3.25                 02:03:12          6         00:20:32
    929142         1005         S1083           21/07/2025           28/08/2025            27.00                4.03                 01:22:50          8         00:10:21
    678119         1005         Q1071           16/07/2025           03/09/2025            24.44                4.60                 01:53:08          9         00:12:34
    647182         1005         N1001           17/07/2025           26/08/2025            40.99                8.62                 00:01:42         12         00:00:08
    867123         1003         T1016           08/08/2025           02/09/2025            11.61                1.54                 01:35:16          4         00:23:49
    372132         1003         Z1074           28/07/2025           04/08/2025            10.44                2.33                 00:45:13          3         00:15:04
    702155         1003         I1015           19/07/2025           23/08/2025            23.22                3.04                 00:04:27          5         00:00:53
    738184         1003         K1026           26/07/2025           01/09/2025            27.91                4.86                 00:21:44          9         00:02:24
    276198         1003         Z1085           20/07/2025           01/09/2025            57.80                8.03                 01:31:55         17         00:05:24
    139193         1002         O1090           19/07/2025           02/08/2025             7.30                1.34                 00:36:11          2         00:18:05
    683126         1002         N1099           23/07/2025           23/08/2025            13.44                1.63                 00:23:04          4         00:05:46
    199127         1002         V1064           23/07/2025           22/08/2025            14.96                1.67                 00:12:55          4         00:03:13
    115115         1002         X1069           28/07/2025           01/09/2025            36.61                3.18                 00:44:08          9         00:04:54
    401166         1002         B1073           18/07/2025           26/08/2025            34.42                5.05                 01:02:04         10         00:06:12
    693105         1002         K1048           18/07/2025           02/09/2025            23.04                5.53                 00:54:06          7         00:07:43
